id,status_id,status_nome,projeto_id,projeto_nome,tipo_id,tipo_nome,first_story_point,last_story_point,lead_time,cycle_time
NGBC-1454,10008,Done,NGBC,B2C,10201,Bug,2,2,1,1
NGBC-146,10008,Done,NGBC,B2C,10200,Story,NULL,NULL,90,24
NGBC-1461,10008,Done,NGBC,B2C,10200,Story,3,3,14,1
NGBC-147,10008,Done,NGBC,B2C,10200,Story,1,1,3,2
NGBC-1471,10008,Done,NGBC,B2C,10200,Story,2,2,5,3
NGBC-1473,10008,Done,NGBC,B2C,10201,Bug,2,2,6,4
NGBC-1474,10008,Done,NGBC,B2C,10201,Bug,2,2,45,3
NGBC-1478,10008,Done,NGBC,B2C,10201,Bug,2,2,31,3
NGBC-148,10008,Done,NGBC,B2C,10200,Story,NULL,NULL,60,49
NGBC-1481,10008,Done,NGBC,B2C,10201,Bug,1,2,0.08,0.04
NGBC-1483,10008,Done,NGBC,B2C,10600,Technical Story,3,3,22,4
NGBC-1484,10008,Done,NGBC,B2C,10200,Story,5,5,25,0.04
NGBC-149,10008,Done,NGBC,B2C,10201,Bug,NULL,NULL,6,6
NGBC-1490,10008,Done,NGBC,B2C,10200,Story,NULL,3,13,1
NGBC-150,10008,Done,NGBC,B2C,10201,Bug,NULL,NULL,42,41
NGBC-1501,10008,Done,NGBC,B2C,10600,Technical Story,5,5,11,6
NGBC-1507,10008,Done,NGBC,B2C,10600,Technical Story,3,3,92,2
NGBC-1542,10008,Done,NGBC,B2C,10600,Technical Story,2,2,4,1
NGBC-1543,10008,Done,NGBC,B2C,10600,Technical Story,2,2,16,6
NGBC-1548,10008,Done,NGBC,B2C,10201,Bug,NULL,NULL,0.96,0.04
NGBC-1551,10008,Done,NGBC,B2C,10600,Technical Story,2,2,0.92,0.88
NGBC-1554,10008,Done,NGBC,B2C,10201,Bug,2,2,5,3
NGBC-1559,10008,Done,NGBC,B2C,10200,Story,3,1,35,2
NGBC-1586,10008,Done,NGBC,B2C,10103,Task,2,2,11,2
NGBC-1598,10008,Done,NGBC,B2C,10103,Task,2,2,3,0.33
NGBC-1601,10008,Done,NGBC,B2C,10201,Bug,2,2,0,0
NGBC-1606,10008,Done,NGBC,B2C,10201,Bug,3,3,2,2
NGBC-1619,10008,Done,NGBC,B2C,10103,Task,3,3,6,4
NGBC-1626,10008,Done,NGBC,B2C,10200,Story,3,3,15,2
NGBC-1630,10008,Done,NGBC,B2C,10201,Bug,2,2,3,2
NGBC-1636,10008,Done,NGBC,B2C,10600,Technical Story,2,2,0.13,0.13
NGBC-1644,10008,Done,NGBC,B2C,10600,Technical Story,3,3,2,1
NGBC-1645,10008,Done,NGBC,B2C,10200,Story,5,5,36,7
NGBC-1654,10008,Done,NGBC,B2C,10200,Story,3,3,2,1
NGBC-1663,10008,Done,NGBC,B2C,10600,Technical Story,5,5,7,5
